Bloom	-107.99017	36.65796	0.009	0.961	0.03
Bluff	-109.605565	37.292596	0.148	0.644	0.208
Book	-109.481626	39.72494	0.007	0.014	0.979
Chaco	-107.9884	36.20565667	0.001	0.994	0.005
CO_Mon	-108.695485	39.060327	0.073	0.537	0.39
Factory	-110.878342	38.417312	0.038	0.044	0.919
Grand_Stair	-111.49796	37.69196	0.737	0.125	0.137
Gypsum	-108.663383	38.040607	0.061	0.713	0.226
Hiawatha	-110.952509	39.465218	0.028	0.009	0.963
Kaip	-111.72537	37.74097	0.904	0.031	0.066
Lees_Ferry	-111.620873	36.852278	0.901	0.017	0.081
Manzanares	-107.640178	36.716093	0.001	0.961	0.038
Moab	-109.7261667	38.18165	0.028	0.248	0.725
San_Rafael	-110.707748	38.836965	0.029	0.117	0.854
Sevenmile	-109.748455	38.640514	0.06	0.261	0.679
Westwater	-109.142019	39.120913	0.025	0.31	0.665
